time,open,high,low,close,vwap,volume,count
2025-06-18 17:15:00,321.96,322.40,320.96,321.03,321.91,11.80396967,29
2025-06-18 17:30:00,320.25,321.05,320.00,320.99,320.12,18.05825603,21
2025-06-18 17:45:00,321.09,321.80,320.74,321.44,321.04,11.91215073,38
2025-06-18 18:00:00,321.48,321.48,318.29,318.40,319.45,48.30245388,73
2025-06-18 18:15:00,318.59,320.32,317.70,318.74,318.81,64.24376211,93
2025-06-18 18:30:00,318.61,319.23,317.01,317.72,318.27,105.91560517,121
2025-06-18 18:45:00,317.67,317.90,314.51,314.52,315.68,98.24184027,160
2025-06-18 19:00:00,314.51,316.16,314.11,316.16,314.66,43.50142555,60
2025-06-18 19:15:00,316.10,317.70,315.52,316.29,316.61,37.57679126,58
2025-06-18 19:30:00,316.11,316.45,314.93,314.93,315.55,29.49590134,59
2025-06-18 19:45:00,314.93,316.57,314.37,316.23,315.60,10.16061269,28
2025-06-18 20:00:00,316.25,316.26,315.40,316.26,316.04,2.10222532,15
